id,company_name,industry,sub_industry,country,city,revenue_band,team_size,business_intent,products_services,MOQ,export_ready,profile_completeness,verified
18,Burnett-Clay,Technology,SaaS,Germany,Stephenville,<1 Cr,1-10,Seeking Supplier,visualize virtual users,500,Yes,70,No
19,"Daniel, Stewart and Johnson",Technology,SaaS,UK,Justinport,50+ Cr,1-10,Investment,iterate seamless info-mediaries,100,Yes,63,Yes
20,"Marks, Donaldson and Henson",Retail,E-commerce,UK,New Patriciamouth,<1 Cr,51-200,Partnership,integrate customized convergence,500,No,57,No
21,Rich PLC,Manufacturing,Automotive,China,Angelicachester,50+ Cr,51-200,Export,scale strategic action-items,500,No,96,Yes
22,"Valdez, Curry and Bullock",Healthcare,Medical Devices,USA,East Natalie,<1 Cr,200+,Investment,deliver intuitive e-commerce,1000,No,75,No
23,White PLC,FMCG,Beverages,China,Brianborough,<1 Cr,51-200,Seeking Buyer,scale 24/365 e-business,1000,Yes,94,No
24,"Jensen, Preston and Li",Retail,E-commerce,UK,New Kimberly,10-50 Cr,200+,Seeking Buyer,implement vertical methodologies,100,Yes,87,Yes
25,Day-Davis,Retail,E-commerce,India,South Garychester,50+ Cr,11-50,Partnership,exploit turn-key e-markets,1000,No,84,Yes
26,"Cannon, Carter and Vasquez",Healthcare,Pharmaceuticals,UAE,Lake Heatherville,1-10 Cr,200+,Seeking Distributor,synthesize distributed methodologies,1000,No,68,Yes
27,Drake-Mccall,FMCG,Food Processing,UK,Andersonborough,10-50 Cr,11-50,Export,scale global web-readiness,1000,Yes,70,Yes
28,Alexander-Rodriguez,Technology,SaaS,USA,Lindsayport,<1 Cr,1-10,Seeking Buyer,deploy scalable e-business,500,No,50,Yes
29,"Jennings, Cervantes and Carter",FMCG,Beverages,India,Justinfort,<1 Cr,51-200,Export,embrace turn-key methodologies,100,No,79,Yes
30,Rogers-White,Healthcare,Medical Devices,India,West Alexander,<1 Cr,11-50,Investment,implement 24/7 mindshare,1000,Yes,54,Yes
31,Graham-Allen,Manufacturing,Electronics,China,Collinshaven,<1 Cr,51-200,Seeking Supplier,extend plug-and-play schemas,100,No,66,No
32,Fletcher Ltd,Technology,SaaS,UAE,Phillipshaven,50+ Cr,51-200,Export,e-enable out-of-the-box mindshare,500,No,61,No
33,"Adams, Thomas and Smith",Manufacturing,Automotive,China,West Joshuafurt,<1 Cr,1-10,Seeking Supplier,enable interactive e-tailers,500,No,72,Yes
34,"Cochran, Carroll and Terrell",FMCG,Beverages,UAE,Kevinville,<1 Cr,51-200,Export,syndicate 24/365 ROI,500,Yes,96,No
35,Burns-Spears,Retail,E-commerce,UK,Port Robert,<1 Cr,51-200,Export,transform web-enabled metrics,500,Yes,92,Yes
36,"Wilkinson, Barnes and Marks",FMCG,Food Processing,UAE,West Sara,<1 Cr,200+,Investment,extend magnetic eyeballs,500,Yes,71,No
37,"Mcguire, Peterson and Thomas",Healthcare,Medical Devices,UAE,Edwardside,50+ Cr,11-50,Partnership,extend ubiquitous technologies,500,Yes,60,No
38,Murphy LLC,Technology,SaaS,UAE,Port Andrew,<1 Cr,11-50,Export,syndicate cross-media architectures,1000,No,77,Yes
39,Green-Bell,Manufacturing,Textiles,India,Jillhaven,50+ Cr,51-200,Investment,e-enable open-source eyeballs,1000,No,61,Yes
40,Carroll-Evans,Manufacturing,Automotive,India,Blevinsmouth,<1 Cr,11-50,Seeking Supplier,synergize viral partnerships,500,No,58,Yes
41,Morris-Rivera,FMCG,Beverages,India,Tylerborough,<1 Cr,1-10,Seeking Buyer,incentivize robust e-commerce,1000,No,75,Yes
42,Thornton PLC,FMCG,Food Processing,India,Katherinemouth,10-50 Cr,200+,Seeking Supplier,exploit B2B e-business,100,Yes,92,No
43,"Lawson, Garrison and Bush",Manufacturing,Automotive,Germany,Morriston,50+ Cr,51-200,Partnership,evolve robust initiatives,500,Yes,76,No
44,"Hayes, Stewart and Jackson",Manufacturing,Automotive,India,Greenborough,<1 Cr,11-50,Seeking Buyer,orchestrate 24/365 eyeballs,500,Yes,68,Yes
45,Rogers-Cooke,Technology,AI,India,North Michael,<1 Cr,200+,Seeking Buyer,harness turn-key portals,100,Yes,71,Yes
46,Peters and Sons,Technology,AI,UK,Marcside,1-10 Cr,1-10,Partnership,re-contextualize 24/7 e-services,1000,Yes,88,No
47,Spence-Lewis,FMCG,Food Processing,USA,West Sara,<1 Cr,51-200,Seeking Distributor,repurpose revolutionary metrics,100,Yes,71,Yes
48,Schaefer Inc,Retail,E-commerce,India,Cynthiaview,<1 Cr,51-200,Seeking Supplier,orchestrate magnetic portals,500,Yes,78,Yes
49,Rodgers-Gutierrez,Healthcare,Pharmaceuticals,USA,Hintonside,1-10 Cr,200+,Export,enhance cross-media deliverables,100,Yes,91,No
50,Harrison PLC,FMCG,Food Processing,UK,South Heidi,10-50 Cr,11-50,Seeking Distributor,orchestrate plug-and-play channels,100,No,98,Yes
51,"Jordan, Mendez and Carpenter",Manufacturing,Textiles,Germany,Charleschester,1-10 Cr,11-50,Seeking Supplier,brand value-added eyeballs,1000,No,59,Yes
52,Patel PLC,Technology,AI,India,Michelleberg,1-10 Cr,51-200,Export,expedite plug-and-play web-readiness,100,No,77,No
53,Parker Inc,Healthcare,Pharmaceuticals,China,Carolynshire,10-50 Cr,1-10,Seeking Buyer,target global info-mediaries,500,No,88,Yes
54,Donaldson-Adams,Technology,AI,UAE,Port Claudiashire,1-10 Cr,51-200,Partnership,matrix back-end partnerships,100,Yes,94,No
55,Clayton Group,Manufacturing,Automotive,India,New James,<1 Cr,200+,Seeking Supplier,implement user-centric partnerships,500,No,57,Yes
56,"Vega, Wright and Campbell",Manufacturing,Automotive,UK,Petersshire,50+ Cr,200+,Seeking Distributor,unleash magnetic systems,500,Yes,79,No
57,Castillo-Williams,Technology,SaaS,USA,Katieland,1-10 Cr,51-200,Seeking Buyer,seize turn-key e-markets,500,No,53,No
58,Li-Anderson,Manufacturing,Textiles,China,South Reginald,10-50 Cr,51-200,Seeking Buyer,re-intermediate bricks-and-clicks partnerships,500,No,51,No
59,Chapman-Guerra,Retail,E-commerce,UK,Youngside,1-10 Cr,1-10,Seeking Buyer,morph 24/365 portals,1000,No,50,No
60,"Santos, Jones and Berger",Retail,E-commerce,UAE,Ellisville,50+ Cr,11-50,Export,exploit dynamic e-tailers,100,No,52,No
61,Huff Group,Technology,SaaS,UK,Lambchester,1-10 Cr,11-50,Partnership,disintermediate robust mindshare,1000,No,100,Yes
62,"Morales, Fletcher and Sullivan",Technology,AI,India,Nunezmouth,50+ Cr,51-200,Investment,mesh clicks-and-mortar e-services,500,No,52,No
63,"Perry, Taylor and Wise",Healthcare,Pharmaceuticals,Germany,Port Jeffreyshire,1-10 Cr,51-200,Seeking Buyer,monetize dot-com solutions,500,Yes,90,No
64,"Nelson, Hoffman and Clark",Retail,Fashion,China,West Josephbury,<1 Cr,1-10,Partnership,engage cross-platform experiences,100,No,66,Yes
65,White LLC,Healthcare,Medical Devices,India,South Matthewfort,1-10 Cr,1-10,Export,streamline virtual methodologies,100,Yes,59,Yes
66,Baker-Hodge,Technology,AI,UAE,New Kenneth,1-10 Cr,51-200,Investment,incentivize integrated experiences,1000,Yes,73,No
67,Lamb-Willis,Healthcare,Pharmaceuticals,China,Travismouth,<1 Cr,51-200,Seeking Supplier,strategize extensible relationships,500,Yes,92,No
68,Jordan Ltd,Healthcare,Pharmaceuticals,USA,Robbinstown,1-10 Cr,51-200,Seeking Distributor,engineer enterprise systems,100,No,69,Yes
69,Freeman-Ramos,Technology,AI,India,Morenoshire,50+ Cr,51-200,Seeking Buyer,enhance next-generation functionalities,1000,No,53,No
70,"Archer, Willis and Ford",Healthcare,Pharmaceuticals,UAE,West Rachelmouth,<1 Cr,1-10,Investment,whiteboard extensible synergies,100,No,54,No
71,Bentley-Lester,Retail,E-commerce,China,Port Anthony,10-50 Cr,11-50,Investment,cultivate next-generation functionalities,500,No,78,No
72,"Miles, Stanton and Parks",FMCG,Food Processing,India,Port Melinda,1-10 Cr,11-50,Seeking Supplier,aggregate granular action-items,1000,Yes,70,No
73,Raymond-Bryant,Technology,Cybersecurity,USA,Port Andreaside,10-50 Cr,51-200,Export,empower end-to-end mindshare,1000,Yes,94,Yes
74,Jones-Pham,Retail,Fashion,USA,Joyceport,1-10 Cr,51-200,Seeking Buyer,monetize turn-key networks,100,No,59,Yes
75,"Barker, Byrd and Bautista",Technology,Cybersecurity,India,Matthewhaven,<1 Cr,1-10,Seeking Distributor,incentivize rich users,100,No,71,No
76,Barker-Strickland,Retail,Fashion,India,West Davidview,<1 Cr,200+,Investment,syndicate dot-com paradigms,1000,Yes,98,Yes
77,Baker and Sons,Manufacturing,Textiles,China,Townsendbury,50+ Cr,51-200,Seeking Buyer,drive virtual markets,500,Yes,53,Yes
78,"Ochoa, Carlson and Miller",Retail,Fashion,UK,Monroechester,50+ Cr,11-50,Investment,engineer frictionless functionalities,100,No,51,No
79,Jackson Group,Healthcare,Pharmaceuticals,India,New Joseph,50+ Cr,200+,Export,target global systems,100,Yes,81,No
80,Wilson PLC,Technology,AI,Germany,New Robert,<1 Cr,51-200,Seeking Supplier,leverage granular communities,100,Yes,86,No
81,Gilbert PLC,Retail,E-commerce,Germany,Reginaville,<1 Cr,51-200,Seeking Distributor,productize leading-edge ROI,100,No,99,No
82,"Blanchard, Ortiz and Larson",Technology,SaaS,China,Christophermouth,<1 Cr,51-200,Seeking Supplier,target extensible e-markets,100,Yes,91,Yes
83,Farley Ltd,Manufacturing,Electronics,UK,Port Randyland,<1 Cr,1-10,Seeking Supplier,integrate revolutionary action-items,1000,No,71,Yes
84,"Rodriguez, Walker and Pham",Healthcare,Medical Devices,India,West Mandy,10-50 Cr,11-50,Export,utilize interactive e-markets,500,No,76,Yes
85,Martinez and Sons,Technology,SaaS,China,East Brandifort,<1 Cr,51-200,Partnership,expedite killer communities,1000,Yes,58,No
86,Roberts-Carr,Healthcare,Medical Devices,China,South Leefort,10-50 Cr,51-200,Seeking Distributor,streamline plug-and-play deliverables,1000,No,87,Yes
87,"Mora, Simon and Lee",Healthcare,Medical Devices,Germany,West Aaronland,1-10 Cr,1-10,Export,generate web-enabled eyeballs,500,Yes,65,Yes
88,Rodriguez-Joseph,FMCG,Personal Care,UK,Jaredfort,<1 Cr,1-10,Seeking Supplier,streamline 24/365 supply-chains,1000,No,81,Yes
89,Flores-Bullock,Retail,Fashion,China,South Robertoside,1-10 Cr,51-200,Export,drive bricks-and-clicks relationships,100,No,68,No
90,Bauer Inc,Technology,Cybersecurity,Germany,Lake Brian,<1 Cr,1-10,Export,exploit back-end vortals,100,Yes,58,No
91,Williams-Patterson,Technology,Cybersecurity,UK,Angelafort,<1 Cr,11-50,Seeking Buyer,maximize vertical architectures,1000,Yes,56,No
92,"Smith, Meyer and Wright",Manufacturing,Automotive,India,Carlsontown,1-10 Cr,11-50,Seeking Supplier,maximize value-added synergies,500,Yes,72,No
93,Manning Ltd,Manufacturing,Textiles,UK,Matthewton,50+ Cr,11-50,Seeking Distributor,leverage killer vortals,100,Yes,80,Yes
94,Gomez-Gonzalez,Manufacturing,Textiles,China,South Bradley,50+ Cr,11-50,Partnership,engage open-source e-tailers,100,Yes,54,No
95,Contreras LLC,Technology,AI,UAE,New Kayla,50+ Cr,1-10,Seeking Supplier,deploy scalable eyeballs,1000,No,84,No
96,Phillips PLC,Healthcare,Pharmaceuticals,USA,Sotoview,10-50 Cr,200+,Seeking Buyer,brand one-to-one info-mediaries,500,No,57,Yes
97,"Rivera, Lopez and Wade",Healthcare,Medical Devices,China,New Crystalmouth,1-10 Cr,51-200,Partnership,matrix bricks-and-clicks platforms,500,No,73,Yes
98,"Lee, Gonzales and Barnett",FMCG,Food Processing,UK,North Daniel,50+ Cr,51-200,Export,aggregate cutting-edge users,100,No,69,No
99,"Schaefer, Collins and Carter",Manufacturing,Electronics,USA,Joseton,1-10 Cr,51-200,Seeking Supplier,productize extensible platforms,100,No,90,No
100,"Boyd, Fisher and Barnes",Technology,Cybersecurity,USA,South Jonathan,1-10 Cr,200+,Partnership,productize integrated systems,100,No,54,Yes
101,Ferguson-Ford,Manufacturing,Automotive,UAE,West Deborahberg,<1 Cr,200+,Partnership,leverage 24/7 supply-chains,500,Yes,61,Yes
102,"May, Bowman and Mccormick",FMCG,Personal Care,China,Dayville,10-50 Cr,200+,Export,syndicate end-to-end web services,100,No,76,Yes
103,Brooks LLC,Technology,Cybersecurity,Germany,East Courtney,1-10 Cr,11-50,Export,exploit interactive e-commerce,1000,No,88,Yes
104,Perez Inc,Healthcare,Pharmaceuticals,UAE,Veronicamouth,1-10 Cr,51-200,Seeking Supplier,empower real-time applications,1000,No,88,No
105,"Jones, Hernandez and Hurley",Retail,Fashion,China,East Shannon,<1 Cr,51-200,Seeking Buyer,mesh cutting-edge supply-chains,100,Yes,95,Yes
106,Patton and Sons,FMCG,Food Processing,China,Robertchester,50+ Cr,200+,Investment,whiteboard front-end technologies,500,No,93,No
107,"White, Marquez and Johnson",FMCG,Personal Care,India,Daltonburgh,10-50 Cr,11-50,Seeking Supplier,target magnetic mindshare,100,Yes,71,No
108,"Cochran, Pittman and Nash",Healthcare,Medical Devices,China,Lake Nancytown,<1 Cr,200+,Seeking Supplier,engage global systems,1000,No,50,Yes
109,"Hodges, Snyder and Howell",Manufacturing,Electronics,UAE,Stephenstown,1-10 Cr,200+,Export,implement open-source functionalities,1000,Yes,62,No
110,Rodriguez-Greene,Healthcare,Medical Devices,Germany,Laneville,<1 Cr,51-200,Seeking Distributor,deploy impactful markets,1000,Yes,61,Yes
111,"Bailey, Mcconnell and Hopkins",Technology,AI,USA,Greenchester,<1 Cr,11-50,Seeking Supplier,benchmark global platforms,100,No,72,No
112,"Fletcher, Patel and Coleman",Manufacturing,Textiles,China,Wardtown,1-10 Cr,51-200,Export,deploy scalable markets,1000,No,87,No
113,Orozco-Bennett,Technology,SaaS,USA,Snowland,1-10 Cr,11-50,Partnership,synthesize cutting-edge functionalities,500,Yes,82,No
114,Newman-Wallace,Manufacturing,Textiles,Germany,Warrenstad,<1 Cr,51-200,Seeking Buyer,extend wireless ROI,500,Yes,74,Yes
115,James-Gonzales,Manufacturing,Electronics,China,Youngview,50+ Cr,1-10,Seeking Buyer,visualize visionary e-business,1000,Yes,100,No
116,Solomon PLC,FMCG,Food Processing,India,Jeanview,10-50 Cr,51-200,Seeking Supplier,expedite end-to-end e-commerce,100,Yes,71,No
117,Patterson PLC,Manufacturing,Electronics,UAE,Jenniferfurt,<1 Cr,11-50,Seeking Buyer,seize customized vortals,100,No,79,Yes
118,Morris Inc,Technology,Cybersecurity,USA,Janetville,<1 Cr,11-50,Investment,incentivize clicks-and-mortar functionalities,100,No,95,No
119,Mason-Mckinney,Retail,E-commerce,USA,Amandaburgh,<1 Cr,51-200,Seeking Distributor,engage web-enabled action-items,500,No,95,No
120,Young Ltd,Manufacturing,Automotive,China,Lake Emily,1-10 Cr,200+,Seeking Distributor,harness synergistic metrics,500,No,100,Yes
121,"Bailey, Boyer and Cobb",Healthcare,Pharmaceuticals,China,West Jessica,1-10 Cr,51-200,Investment,harness robust users,1000,No,51,Yes
122,Robbins-Rodriguez,Technology,SaaS,USA,South Jennifermouth,<1 Cr,200+,Seeking Supplier,evolve global vortals,100,Yes,73,No
123,Aguilar LLC,Technology,SaaS,Germany,New Tamaraton,<1 Cr,11-50,Seeking Distributor,morph killer partnerships,500,No,64,Yes
124,Ramsey-Foster,Technology,Cybersecurity,UAE,North Teresachester,1-10 Cr,1-10,Partnership,envisioneer efficient info-mediaries,100,No,52,No
125,"Williams, Day and Vazquez",Healthcare,Pharmaceuticals,Germany,Tyroneburgh,50+ Cr,200+,Seeking Supplier,integrate 24/365 schemas,500,No,86,No
126,Clark LLC,FMCG,Beverages,Germany,Reynoldsfurt,1-10 Cr,200+,Seeking Supplier,streamline e-business architectures,100,Yes,68,Yes
127,Fox Ltd,Retail,E-commerce,USA,Castrostad,<1 Cr,200+,Partnership,redefine seamless solutions,1000,Yes,64,No
128,Norman and Sons,Retail,E-commerce,UK,Morganshire,10-50 Cr,51-200,Seeking Distributor,e-enable end-to-end supply-chains,100,No,75,No
129,Hughes-Stanton,FMCG,Food Processing,UK,Jeffreychester,50+ Cr,1-10,Seeking Buyer,reinvent granular e-services,1000,No,87,Yes
130,Baldwin PLC,Manufacturing,Electronics,India,North Michael,50+ Cr,200+,Seeking Supplier,deliver revolutionary web services,1000,No,81,No
131,Brooks-Allen,Technology,AI,UAE,Davidport,1-10 Cr,11-50,Export,deploy cutting-edge models,100,No,72,No
132,"Camacho, Crosby and Alexander",Manufacturing,Electronics,UAE,North Catherinetown,<1 Cr,51-200,Investment,enhance enterprise infrastructures,100,No,59,No
133,"Torres, Johnson and Ward",FMCG,Beverages,China,Arnoldmouth,1-10 Cr,11-50,Seeking Distributor,scale e-business platforms,500,No,58,Yes
134,Estrada Ltd,Manufacturing,Textiles,UAE,South Bradley,<1 Cr,200+,Export,reinvent bleeding-edge e-tailers,100,Yes,53,No
135,"Nelson, Hamilton and Martinez",Retail,Fashion,UAE,Stevenshaven,1-10 Cr,1-10,Export,leverage next-generation deliverables,100,Yes,98,No
136,Johnson-Snyder,Retail,Fashion,USA,Tashabury,<1 Cr,51-200,Export,whiteboard ubiquitous vortals,500,No,84,No
137,"Williams, Smith and Rogers",Healthcare,Medical Devices,UK,South Heathershire,<1 Cr,200+,Investment,target dot-com functionalities,500,Yes,80,No
138,"Hopkins, Hines and Simmons",Healthcare,Medical Devices,China,East Valerieshire,50+ Cr,51-200,Partnership,orchestrate front-end models,500,Yes,50,No
139,Brown Group,Manufacturing,Textiles,Germany,New Anthony,10-50 Cr,1-10,Seeking Distributor,aggregate leading-edge markets,500,Yes,52,Yes
140,Donovan-Jackson,FMCG,Beverages,India,Trevinoburgh,<1 Cr,51-200,Seeking Supplier,extend collaborative web services,1000,No,60,Yes
141,"Arnold, Phelps and Patel",FMCG,Personal Care,UK,Nguyenside,50+ Cr,11-50,Investment,matrix distributed channels,100,Yes,71,No
142,Phelps-Bell,FMCG,Personal Care,UK,New Timothyberg,<1 Cr,51-200,Seeking Distributor,architect web-enabled schemas,500,No,75,Yes
143,Jimenez PLC,Technology,SaaS,USA,South Kevin,1-10 Cr,11-50,Seeking Buyer,innovate world-class supply-chains,500,Yes,95,No
144,Brown-Cruz,Manufacturing,Electronics,India,Jeremytown,10-50 Cr,200+,Seeking Supplier,morph mission-critical mindshare,500,Yes,69,Yes
145,"Mills, Carr and Neal",Technology,SaaS,Germany,North Amberside,1-10 Cr,11-50,Seeking Buyer,strategize e-business e-tailers,100,No,93,No
146,Baker and Sons,Technology,Cybersecurity,Germany,South Michaelhaven,<1 Cr,51-200,Export,aggregate real-time markets,500,Yes,53,Yes
147,Hammond PLC,Technology,Cybersecurity,India,North Karen,<1 Cr,200+,Seeking Buyer,harness collaborative eyeballs,100,Yes,51,No
148,"Strong, Cooper and Olson",Retail,E-commerce,USA,East Markberg,10-50 Cr,200+,Partnership,cultivate strategic ROI,100,Yes,55,Yes
149,Griffith-Simon,FMCG,Food Processing,UAE,Vasquezstad,50+ Cr,51-200,Partnership,deploy impactful applications,500,Yes,66,No
150,"Gallegos, Jackson and Ware",Manufacturing,Electronics,UK,North Markside,<1 Cr,200+,Seeking Distributor,disintermediate dynamic e-markets,100,Yes,51,No
151,Williamson-Yang,Technology,AI,Germany,Nicholasstad,10-50 Cr,200+,Investment,enable 24/7 eyeballs,100,Yes,94,Yes
152,Carter-Walls,Retail,E-commerce,UK,East Tonyhaven,10-50 Cr,200+,Export,disintermediate 24/365 functionalities,1000,Yes,83,No
153,"David, Randall and Rojas",Technology,AI,UAE,Arthurport,<1 Cr,11-50,Export,enable open-source models,1000,No,88,No
154,Allison Ltd,Retail,Fashion,UK,Sheltonborough,50+ Cr,1-10,Seeking Buyer,enhance open-source users,1000,No,70,Yes
155,Ramos Ltd,Technology,SaaS,India,Dodsonport,<1 Cr,200+,Seeking Buyer,transform enterprise deliverables,500,No,74,Yes
156,Medina and Sons,Manufacturing,Electronics,China,Lake Phyllis,50+ Cr,11-50,Investment,e-enable next-generation technologies,100,Yes,70,Yes
157,Melendez-Klein,Manufacturing,Automotive,Germany,Jessicaton,1-10 Cr,1-10,Export,envisioneer out-of-the-box mindshare,1000,Yes,51,Yes
158,Munoz-Macias,Manufacturing,Automotive,USA,Danielburgh,<1 Cr,1-10,Seeking Buyer,optimize web-enabled experiences,500,No,96,Yes
159,"Delgado, Hebert and Graham",Manufacturing,Electronics,UAE,Hofort,<1 Cr,200+,Seeking Buyer,incubate user-centric metrics,100,No,53,Yes
160,Finley-Jarvis,Healthcare,Pharmaceuticals,China,East Crystal,50+ Cr,1-10,Seeking Buyer,orchestrate proactive info-mediaries,1000,No,55,No
161,Perez Inc,Healthcare,Medical Devices,USA,Lake Paulmouth,1-10 Cr,200+,Seeking Supplier,innovate back-end relationships,500,Yes,63,No
162,Jones-Allison,Manufacturing,Electronics,USA,Andersonberg,<1 Cr,51-200,Seeking Distributor,repurpose impactful e-commerce,1000,No,86,Yes
163,Wise Group,Healthcare,Pharmaceuticals,USA,East Peterbury,<1 Cr,51-200,Seeking Buyer,matrix bricks-and-clicks e-tailers,500,No,62,Yes
164,"Eaton, Mcpherson and Robinson",FMCG,Food Processing,India,Kevinmouth,50+ Cr,1-10,Partnership,benchmark cross-media e-services,1000,Yes,92,No
165,"Kemp, Rodriguez and Walter",Technology,AI,India,West Jacquelineborough,<1 Cr,11-50,Seeking Buyer,brand impactful technologies,100,No,84,No
166,Benson LLC,Retail,Fashion,USA,Grayfurt,<1 Cr,11-50,Seeking Supplier,orchestrate value-added deliverables,1000,No,55,Yes
167,"Sanders, Richards and Jones",Retail,Fashion,USA,New Jack,50+ Cr,1-10,Investment,enhance visionary architectures,1000,No,81,Yes
168,Pugh-Carlson,Technology,AI,UK,Millerland,<1 Cr,1-10,Seeking Buyer,maximize mission-critical content,100,Yes,75,No
169,Rocha-Black,Healthcare,Pharmaceuticals,UAE,Paulborough,10-50 Cr,11-50,Seeking Buyer,iterate strategic users,500,No,98,No
170,"Moses, Lawson and Hamilton",FMCG,Personal Care,India,Lawrencestad,<1 Cr,200+,Seeking Distributor,synthesize sticky bandwidth,1000,No,93,No
171,"Velez, Conley and Allen",Healthcare,Pharmaceuticals,USA,Christinaville,1-10 Cr,200+,Seeking Distributor,synergize strategic e-commerce,500,Yes,77,Yes
172,Jones-Lowe,Retail,E-commerce,Germany,East Victoriaborough,50+ Cr,1-10,Investment,transition front-end partnerships,1000,No,87,Yes
173,Costa Inc,Retail,E-commerce,UK,North Sethmouth,<1 Cr,200+,Partnership,synergize killer mindshare,100,No,96,No
174,"Delacruz, Ray and Kelly",Manufacturing,Automotive,China,Buckmouth,<1 Cr,51-200,Investment,visualize world-class systems,1000,No,69,No
175,Wright Group,Manufacturing,Textiles,Germany,Kleinberg,<1 Cr,200+,Investment,seize killer communities,500,Yes,50,No
176,Scott-Braun,FMCG,Personal Care,India,New Tim,<1 Cr,11-50,Partnership,generate integrated e-business,1000,No,57,No
177,Collins-Torres,Manufacturing,Electronics,USA,North Michael,10-50 Cr,200+,Seeking Distributor,re-intermediate revolutionary communities,1000,No,88,No
178,"Turner, Rich and Miller",Manufacturing,Electronics,India,Marshallport,10-50 Cr,11-50,Investment,synthesize collaborative applications,500,No,100,Yes
179,Foster PLC,Retail,Fashion,UAE,Port Lindsaytown,<1 Cr,200+,Seeking Distributor,monetize magnetic portals,1000,No,63,No
180,Rasmussen and Sons,Manufacturing,Electronics,China,Rachelview,1-10 Cr,11-50,Partnership,redefine revolutionary partnerships,500,No,90,No
181,"Adams, Williams and Stevenson",Technology,AI,USA,Lake Elizabeth,50+ Cr,200+,Seeking Supplier,empower web-enabled markets,1000,No,54,No
182,"Peck, Ware and Williams",Technology,SaaS,USA,Davidland,1-10 Cr,11-50,Investment,envisioneer compelling applications,100,Yes,96,Yes
183,"Lopez, Moore and Barrett",Manufacturing,Electronics,UAE,Howebury,1-10 Cr,11-50,Seeking Buyer,transition mission-critical methodologies,100,No,51,No
184,Fisher-Rogers,Manufacturing,Automotive,USA,South Shannonmouth,<1 Cr,1-10,Seeking Supplier,embrace strategic e-tailers,1000,Yes,53,Yes
185,Martin-George,Healthcare,Pharmaceuticals,UAE,Petersonbury,1-10 Cr,1-10,Seeking Distributor,harness dynamic markets,500,Yes,76,Yes
186,White-Boyer,Manufacturing,Textiles,India,Jessicachester,<1 Cr,1-10,Seeking Buyer,incentivize leading-edge e-business,1000,No,50,No
187,Anthony Inc,Manufacturing,Textiles,China,Markberg,50+ Cr,11-50,Seeking Supplier,drive world-class web-readiness,100,Yes,85,No
188,"Maldonado, Gill and Decker",Technology,AI,Germany,North Matthew,50+ Cr,11-50,Seeking Buyer,target ubiquitous channels,100,No,56,No
189,Ellison and Sons,Healthcare,Pharmaceuticals,China,Kendrahaven,<1 Cr,1-10,Seeking Distributor,enhance integrated architectures,1000,Yes,71,No
